pl_name,sy_snum,sy_pnum,discoverymethod,disc_year,pl_refname,pl_orbper,pl_orbsmax,pl_radj,pl_massj,pl_bmassj,pl_dens,pl_eqt,pl_orbincl,pl_tranmid,pl_trandep,pl_trandur,st_teff,st_rad,st_mass,st_logg,st_dens,rastr,ra,decstr,dec,sy_dist,sy_vmag
LP 714-47 b,1,1,Transit,2020,<a refstr=PATEL__AMP__ESPINOZA_2022 href=https://ui.adsabs.harvard.edu/abs/2022AJ....163..228P/abstract target=ref>Patel &amp; Espinoza 2022</a>,4.05203400,,,,,,,,2459196.114900,,,3950.00,0.58,0.59,4.64,,04h16m45.65s,64.1902212,-12d05m05.51s,-12.0848643,52.6160000,12.4920000
K2-391 b,1,1,Transit,2022,<a refstr=CHRISTIANSEN_ET_AL__2022 href=https://ui.adsabs.harvard.edu/abs/2022arXiv220302087C/abstract target=ref>Christiansen et al. 2022</a>,4.62265400,,0.122,,,,,,2457741.516500,,,5543.00,0.57,0.76,4.97,,23h44m54.24s,356.2260152,-07d42m05.45s,-7.7015151,507.9400000,12.5270000
K2-391 b,1,1,Transit,2022,<a refstr=ZINK_ET_AL__2021 href=https://ui.adsabs.harvard.edu/abs/2021AJ....162..259Z/abstract target=ref>Zink et al. 2021</a>,4.62265400,,0.122,,,,,,2457741.516452,,2.7000000,5543.00,0.57,0.76,4.97,,23h44m54.24s,356.2260152,-07d42m05.45s,-7.7015151,507.9400000,12.5270000
LHS 1678 b,2,2,Transit,2021,<a refstr=SILVERSTEIN_ET_AL__2022 href=https://ui.adsabs.harvard.edu/abs/2022AJ....163..151S/abstract target=ref>Silverstein et al. 2022</a>,0.86023220,0.012510,0.062,0.00110,0.00110,6.00000,,87.550,2459121.168814,,0.7740000,3490.00,0.33,0.34,,13.9000,04h32m42.96s,68.1789866,-39d47m27.15s,-39.7908744,19.8782000,12.6000000
LHS 1678 c,2,2,Transit,2021,<a refstr=SILVERSTEIN_ET_AL__2022 href=https://ui.adsabs.harvard.edu/abs/2022AJ....163..151S/abstract target=ref>Silverstein et al. 2022</a>,3.69424700,0.033100,0.088,0.00440,0.00440,10.60000,,89.090,2459120.360617,,1.2600000,3490.00,0.33,0.34,,13.9000,04h32m42.96s,68.1789866,-39d47m27.15s,-39.7908744,19.8782000,12.6000000
TOI-1075 b,1,1,Transit,2022,<a refstr=GIACALONE_ET_AL__2022 href=https://ui.adsabs.harvard.edu/abs/2022AJ....163...99G/abstract target=ref>Giacalone et al. 2022</a>,0.60473280,0.011800,0.153,,,,1336,,2458654.251100,,,3921.00,0.58,0.60,4.69,,20h39m53.09s,309.9712091,-65d26m58.92s,-65.4496994,61.4592000,12.6150000
GJ 1252 b,1,1,Transit,2020,<a refstr=PATEL__AMP__ESPINOZA_2022 href=https://ui.adsabs.harvard.edu/abs/2022AJ....163..228P/abstract target=ref>Patel &amp; Espinoza 2022</a>,0.51824180,,,,,,,,2459060.406460,,,3458.00,0.39,0.38,,,20h27m42.88s,306.9286462,-56d27m44.23s,-56.4622865,20.3730000,12.6800000
GJ 1252 b,1,1,Transit,2020,<a refstr=SHPORER_ET_AL__2020 href=https://ui.adsabs.harvard.edu/abs/2020ApJ...890L...7S/abstract target=ref>Shporer et al. 2020</a>,0.51823490,0.009160,0.106,0.00658,0.00658,,1089,85.000,2458668.097390,,0.7340000,3458.00,0.39,0.38,,,20h27m42.88s,306.9286462,-56d27m44.23s,-56.4622865,20.3730000,12.6800000
K2-383 b,1,1,Transit,2022,<a refstr=MAYO_ET_AL__2018 href=https://ui.adsabs.harvard.edu/abs/2018AJ....155..136M/abstract target=ref>Mayo et al. 2018</a>,1.86597900,,0.170,,,,,85.255,2457302.091250,,,5231.00,0.83,,4.68,,18h48m02.10s,282.0087650,-18d22m46.49s,-18.3795798,203.7880000,12.6890000
K2-383 b,1,1,Transit,2022,<a refstr=KRUSE_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019ApJS..244...11K/abstract target=ref>Kruse et al. 2019</a>,1.86602500,,0.156,,,,,,2457302.091100,0.038300,1.9632000,,0.88,,,,18h48m02.10s,282.0087650,-18d22m46.49s,-18.3795798,203.7880000,12.6890000
K2-383 b,1,1,Transit,2022,<a refstr=CHRISTIANSEN_ET_AL__2022 href=https://ui.adsabs.harvard.edu/abs/2022arXiv220302087C/abstract target=ref>Christiansen et al. 2022</a>,1.86596200,,0.140,,,,,,2457302.092800,,,5129.00,0.80,1.06,4.66,,18h48m02.10s,282.0087650,-18d22m46.49s,-18.3795798,203.7880000,12.6890000
GJ 1061 b,1,3,Radial Velocity,2020,<a refstr=DREIZLER_ET_AL__2020 href=https://ui.adsabs.harvard.edu/abs/2020MNRAS.493..536D/abstract target=ref>Dreizler et al. 2020</a>,3.20400000,0.021000,,,0.00431,,,,,,,2953.00,0.16,0.12,,,03h36m00.78s,54.0032486,-44d30m51.52s,-44.5143104,3.6727800,12.7000000
GJ 1061 c,1,3,Radial Velocity,2020,<a refstr=DREIZLER_ET_AL__2020 href=https://ui.adsabs.harvard.edu/abs/2020MNRAS.493..536D/abstract target=ref>Dreizler et al. 2020</a>,6.68900000,0.035000,,,0.00547,,,,,,,2953.00,0.16,0.12,,,03h36m00.78s,54.0032486,-44d30m51.52s,-44.5143104,3.6727800,12.7000000
TOI-157 b,1,1,Transit,2020,<a refstr=NIELSEN_ET_AL__2020 href=https://ui.adsabs.harvard.edu/abs/2020A&A...639A..76N/abstract target=ref>Nielsen et al. 2020</a>,2.08454350,0.031380,1.286,1.18000,1.18000,0.68600,1588,82.010,2458326.547710,1.283000,2.1458400,5404.00,1.17,0.95,4.28,0.8420,04h54m48.35s,73.7014398,-76d40m50.18s,-76.6806061,355.6830000,12.7250000
TOI-157 b,1,1,Transit,2020,<a refstr=PATEL__AMP__ESPINOZA_2022 href=https://ui.adsabs.harvard.edu/abs/2022AJ....163..228P/abstract target=ref>Patel &amp; Espinoza 2022</a>,2.08453920,,,,,,,,2459252.083110,,,5404.00,1.17,0.95,4.28,0.8420,04h54m48.35s,73.7014398,-76d40m50.18s,-76.6806061,355.6830000,12.7250000
NGTS-13 b,1,1,Transit,2021,<a refstr=GRIEVES_ET_AL__2021 href=https://ui.adsabs.harvard.edu/abs/2021A&A...647A.180G/abstract target=ref>Grieves et al. 2021</a>,4.11902700,0.054900,1.142,4.84000,4.84000,4.02000,1605,88.700,2458572.824700,0.430000,5.2224000,5819.00,1.79,1.30,4.04,0.3100,11h44m57.66s,176.2402326,-38d08m22.98s,-38.1397158,647.5950000,12.7440000
WASP-110 b,1,1,Transit,2021,<a refstr=NIKOLOV_ET_AL__2021 href=https://ui.adsabs.harvard.edu/abs/2021AJ....162...88N/abstract target=ref>Nikolov et al. 2021</a>,3.77840121,,1.238,0.51000,0.51000,,,88.160,2457934.738710,,,5400.00,,,4.10,,20h23m29.38s,305.8724366,-44d03m31.32s,-44.0587001,274.9600000,12.7620000
K2-394 b,1,1,Transit,2022,<a refstr=ZINK_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019RNAAS...3...43Z/abstract target=ref>Zink et al. 2019</a>,5.09582000,,,,,,,,2457825.284800,,,4490.00,0.58,,,,04h44m26.40s,71.1100020,+16d31m06.89s,16.5185817,98.0152000,12.7680000
K2-394 b,1,1,Transit,2022,<a refstr=CHRISTIANSEN_ET_AL__2022 href=https://ui.adsabs.harvard.edu/abs/2022arXiv220302087C/abstract target=ref>Christiansen et al. 2022</a>,5.09571700,,0.151,,,,,,2457825.285900,,,4938.00,0.63,0.48,4.51,,04h44m26.40s,71.1100020,+16d31m06.89s,16.5185817,98.0152000,12.7680000
K2-374 b,1,2,Transit,2022,<a refstr=ZINK_ET_AL__2021 href=https://ui.adsabs.harvard.edu/abs/2021AJ....162..259Z/abstract target=ref>Zink et al. 2021</a>,4.52195300,,0.142,,,,,,2458099.686916,,3.0000000,5789.00,0.91,0.73,4.39,,09h09m31.08s,137.3794986,+16d21m21.00s,16.3558324,359.4390000,12.7830000
K2-374 b,1,2,Transit,2022,<a refstr=CHRISTIANSEN_ET_AL__2022 href=https://ui.adsabs.harvard.edu/abs/2022arXiv220302087C/abstract target=ref>Christiansen et al. 2022</a>,4.52195300,,0.142,,,,,,2458099.686900,,,5789.00,0.91,0.73,4.39,,09h09m31.08s,137.3794986,+16d21m21.00s,16.3558324,359.4390000,12.7830000
K2-405 b,1,1,Transit,2022,<a refstr=ZINK_ET_AL__2021 href=https://ui.adsabs.harvard.edu/abs/2021AJ....162..259Z/abstract target=ref>Zink et al. 2021</a>,3.43545300,,0.340,,,,,,2457908.996472,,2.3000000,4927.00,0.77,1.03,4.68,,10h57m30.24s,164.3759959,+12d32m08.21s,12.5356140,197.2340000,12.8160000
K2-405 b,1,1,Transit,2022,<a refstr=CHRISTIANSEN_ET_AL__2022 href=https://ui.adsabs.harvard.edu/abs/2022arXiv220302087C/abstract target=ref>Christiansen et al. 2022</a>,3.43547100,,0.408,,,,,,2457908.995900,,,4927.00,0.77,1.03,4.68,,10h57m30.24s,164.3759959,+12d32m08.21s,12.5356140,197.2340000,12.8160000
HAT-P-64 b,1,1,Transit,2021,<a refstr=BAKOS_ET_AL__2021 href=https://ui.adsabs.harvard.edu/abs/2021AJ....162....7B/abstract target=ref>Bakos et al. 2021</a>,4.00723200,0.053870,1.703,0.58000,0.58000,0.14400,1766,88.010,2457751.463540,,4.9250000,6457.00,1.74,1.30,4.07,0.3500,04h35m53.85s,68.9743955,+02d25m52.58s,2.4312732,651.8970000,12.8550000
K2-388 b,1,1,Transit,2022,<a refstr=ZINK_ET_AL__2021 href=https://ui.adsabs.harvard.edu/abs/2021AJ....162..259Z/abstract target=ref>Zink et al. 2021</a>,6.33906900,,0.327,,,,,,2457741.794408,,3.2000000,5367.00,0.90,0.84,4.46,,23h30m51.34s,352.7139342,-11d04m38.48s,-11.0773564,290.4950000,12.8610000
K2-388 b,1,1,Transit,2022,<a refstr=CHRISTIANSEN_ET_AL__2022 href=https://ui.adsabs.harvard.edu/abs/2022arXiv220302087C/abstract target=ref>Christiansen et al. 2022</a>,6.33906900,,0.327,,,,,,2457741.794400,,,5367.00,0.90,0.84,4.46,,23h30m51.34s,352.7139342,-11d04m38.48s,-11.0773564,290.4950000,12.8610000
K2-381 b,1,3,Transit,2022,<a refstr=KRUSE_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019ApJS..244...11K/abstract target=ref>Kruse et al. 2019</a>,7.93880000,,0.084,,,,,,2457304.845400,0.020900,1.4640000,,0.62,,,,19h12m06.42s,288.0267612,-21d00m27.28s,-21.0075789,145.7010000,12.8830000
K2-381 b,1,3,Transit,2022,<a refstr=CHRISTIANSEN_ET_AL__2022 href=https://ui.adsabs.harvard.edu/abs/2022arXiv220302087C/abstract target=ref>Christiansen et al. 2022</a>,7.93893340,,0.096,,,,,,2457304.844000,,,4473.00,0.68,0.75,4.65,,19h12m06.42s,288.0267612,-21d00m27.28s,-21.0075789,145.7010000,12.8830000
K2-381 b,1,3,Transit,2022,<a refstr=MAYO_ET_AL__2018 href=https://ui.adsabs.harvard.edu/abs/2018AJ....155..136M/abstract target=ref>Mayo et al. 2018</a>,7.93925600,,0.100,,,,,88.863,2457304.844840,,,4661.00,0.65,,4.66,,19h12m06.42s,288.0267612,-21d00m27.28s,-21.0075789,145.7010000,12.8830000
K2-409 b,1,1,Transit,2022,<a refstr=ZINK_ET_AL__2021 href=https://ui.adsabs.harvard.edu/abs/2021AJ....162..259Z/abstract target=ref>Zink et al. 2021</a>,1.90808400,,0.221,,,,,,2457990.284142,,2.5000000,5742.00,1.23,0.89,4.20,,15h13m49.23s,228.4551125,-16d21m04.67s,-16.3512966,431.0310000,12.9020000
K2-409 b,1,1,Transit,2022,<a refstr=CHRISTIANSEN_ET_AL__2022 href=https://ui.adsabs.harvard.edu/abs/2022arXiv220302087C/abstract target=ref>Christiansen et al. 2022</a>,1.90808400,,0.221,,,,,,2457990.284100,,,5742.00,1.23,0.89,4.20,,15h13m49.23s,228.4551125,-16d21m04.67s,-16.3512966,431.0310000,12.9020000
EPIC 206024342 c,1,3,Transit,2021,<a refstr=ADAMS_ET_AL__2021 href=https://ui.adsabs.harvard.edu/abs/2021PSJ.....2..152A/abstract target=ref>Adams et al. 2021</a>,0.91172400,,0.125,,,,,91.700,2457016.529910,,,5724.00,1.10,,4.50,,22h05m06.51s,331.2771441,-14d07m18.49s,-14.1218019,369.8880000,13.0960000
EPIC 206024342 c,1,3,Transit,2021,<a refstr=KRUSE_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019ApJS..244...11K/abstract target=ref>Kruse et al. 2019</a>,0.91161800,,0.103,,,,,,2456977.338000,0.017900,1.4160000,,0.82,,,,22h05m06.51s,331.2771441,-14d07m18.49s,-14.1218019,369.8880000,13.0960000
EPIC 206024342 c,1,3,Transit,2021,<a refstr=VANDERBURG_ET_AL__2016 href=https://ui.adsabs.harvard.edu/abs/2016ApJS..222...14V/abstract target=ref>Vanderburg et al. 2016</a>,0.91165670,,0.120,,,,,,2456980.070000,0.017400,1.6900000,5648.00,0.94,,,,22h05m06.51s,331.2771441,-14d07m18.49s,-14.1218019,369.8880000,13.0960000
CoRoT-36 b,1,1,Transit,2022,<a refstr=SEBASTIAN_ET_AL__2022 href=https://ui.adsabs.harvard.edu/abs/2022arXiv220708742S/abstract target=ref>Sebastian et al. 2022</a>,5.61653100,0.066000,1.410,0.68000,0.68000,0.25000,1567,85.830,2455662.522360,1.010000,4.9800000,6730.00,1.52,1.32,4.16,,18h31m00.24s,277.7510149,+07d11m00.05s,7.1833465,925.9580000,13.1260000
LTT 3780 b,2,2,Transit,2020,<a refstr=NOWAK_ET_AL__2020 href=https://ui.adsabs.harvard.edu/abs/2020A&A...642A.173N/abstract target=ref>Nowak et al. 2020</a>,0.76837700,0.012030,0.120,0.00736,0.00736,5.24000,1000,85.900,2458543.912810,,0.8180000,3360.00,0.38,0.38,4.81,9.6000,10h18m34.78s,154.6449033,-11d43m04.08s,-11.7178010,21.9814000,13.1400000
LTT 3780 b,2,2,Transit,2020,<a refstr=CLOUTIER_ET_AL__2020 href=https://ui.adsabs.harvard.edu/abs/2020AJ....160....3C/abstract target=ref>Cloutier et al. 2020</a>,0.76844800,0.012110,0.119,0.00824,0.00824,6.10000,892,87.100,2458543.911500,0.108700,0.8050000,3331.00,0.37,0.40,4.90,,10h18m34.78s,154.6449033,-11d43m04.08s,-11.7178010,21.9814000,13.1400000
TOI-700 b,1,3,Transit,2020,<a refstr=RODRIGUEZ_ET_AL__2020 href=https://ui.adsabs.harvard.edu/abs/2020AJ....160..117R/abstract target=ref>Rodriguez et al. 2020</a>,9.97702000,0.067700,0.093,,,,417,89.660,2458490.986700,0.050300,2.2632000,3461.00,0.42,0.41,4.80,7.6800,06h28m22.97s,97.0957165,-65d34m43.01s,-65.5786149,31.1265000,13.1510000
TOI-700 b,1,3,Transit,2020,<a refstr=GILBERT_ET_AL__2020 href=https://ui.adsabs.harvard.edu/abs/2020AJ....160..116G/abstract target=ref>Gilbert et al. 2020</a>,9.97701000,0.063700,0.090,,,,,89.670,2458331.354700,,2.1500000,3480.00,0.42,0.42,4.81,8.0000,06h28m22.97s,97.0957165,-65d34m43.01s,-65.5786149,31.1265000,13.1510000
K2-386 b,1,1,Transit,2022,<a refstr=ZINK_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019RNAAS...3...43Z/abstract target=ref>Zink et al. 2019</a>,7.47372000,,,,,,,,2457395.903900,,,5592.00,1.01,,,,01h13m12.00s,18.2999964,+07d00m46.91s,7.0130302,428.7850000,13.2410000
K2-386 b,1,1,Transit,2022,<a refstr=KRUSE_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019ApJS..244...11K/abstract target=ref>Kruse et al. 2019</a>,7.47331000,,0.244,,,,,,2457395.906000,0.066100,3.5568000,,1.01,,,,01h13m12.00s,18.2999964,+07d00m46.91s,7.0130302,428.7850000,13.2410000
K2-386 b,1,1,Transit,2022,<a refstr=CHRISTIANSEN_ET_AL__2022 href=https://ui.adsabs.harvard.edu/abs/2022arXiv220302087C/abstract target=ref>Christiansen et al. 2022</a>,7.47322300,,0.207,,,,,,2457395.905600,,,5749.00,0.97,0.91,4.42,,01h13m12.00s,18.2999964,+07d00m46.91s,7.0130302,428.7850000,13.2410000
Gaia-1 b,1,1,Transit,2022,<a refstr=PANAHI_ET_AL__2022 href=https://ui.adsabs.harvard.edu/abs/2022arXiv220510197P/abstract target=ref>Panahi et al. 2022</a>,3.05252400,0.040470,1.229,1.68000,1.68000,,,85.730,2458468.685240,,,5470.00,0.95,0.95,,1.4600,06h02m34.48s,90.6436658,-00d34m37.60s,-0.5771099,363.6600000,13.2420000
K2-379 b,1,1,Transit,2022,<a refstr=KRUSE_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019ApJS..244...11K/abstract target=ref>Kruse et al. 2019</a>,8.77830000,,0.203,,,,,,2457303.905400,0.093400,2.9040000,,0.69,,,,18h52m07.62s,283.0317641,-27d10m50.62s,-27.1807287,182.2070000,13.2650000
K2-379 b,1,1,Transit,2022,<a refstr=CHRISTIANSEN_ET_AL__2022 href=https://ui.adsabs.harvard.edu/abs/2022arXiv220302087C/abstract target=ref>Christiansen et al. 2022</a>,8.77724700,,0.195,,,,,,2457303.909100,,,4603.00,0.75,0.86,4.62,,18h52m07.62s,283.0317641,-27d10m50.62s,-27.1807287,182.2070000,13.2650000
NGTS-14 A b,2,1,Transit,2021,<a refstr=SMITH_ET_AL__2021 href=https://ui.adsabs.harvard.edu/abs/2021A&A...646A.183S/abstract target=ref>Smith et al. 2021</a>,3.53571730,0.040300,0.444,0.09200,0.09200,1.39500,1143,86.700,2457502.554500,,2.2400000,5187.00,0.84,0.90,4.20,,21h54m04.20s,328.5174799,-38d22m38.71s,-38.3774193,322.1480000,13.2680000
K2-398 b,1,2,Transit,2022,<a refstr=ZINK_ET_AL__2021 href=https://ui.adsabs.harvard.edu/abs/2021AJ....162..259Z/abstract target=ref>Zink et al. 2021</a>,6.39302500,,0.203,,,,,,2457909.044877,,3.7000000,5946.00,1.24,0.94,4.23,,10h46m56.39s,161.7349738,+01d56m12.14s,1.9367044,606.9920000,13.2870000
K2-398 b,1,2,Transit,2022,<a refstr=CHRISTIANSEN_ET_AL__2022 href=https://ui.adsabs.harvard.edu/abs/2022arXiv220302087C/abstract target=ref>Christiansen et al. 2022</a>,6.39302500,,0.203,,,,,,2457909.044900,,,5946.00,1.24,0.94,4.23,,10h46m56.39s,161.7349738,+01d56m12.14s,1.9367044,606.9920000,13.2870000
K2-396 b,1,2,Transit,2022,<a refstr=CHRISTIANSEN_ET_AL__2022 href=https://ui.adsabs.harvard.edu/abs/2022arXiv220302087C/abstract target=ref>Christiansen et al. 2022</a>,0.67386200,,0.141,,,,,,2457820.963600,,,5236.00,0.92,0.95,4.49,,04h58m46.29s,74.6928607,+17d16m08.60s,17.2690562,274.8640000,13.3200000
K2-396 b,1,2,Transit,2022,<a refstr=ZINK_ET_AL__2021 href=https://ui.adsabs.harvard.edu/abs/2021AJ....162..259Z/abstract target=ref>Zink et al. 2021</a>,0.67386200,,0.141,,,,,,2457820.963635,,1.6000000,5236.00,0.92,0.95,4.49,,04h58m46.29s,74.6928607,+17d16m08.60s,17.2690562,274.8640000,13.3200000
K2-350 b,1,2,Transit,2021,<a refstr=DE_LEON_ET_AL__2021 href=https://ui.adsabs.harvard.edu/abs/2021MNRAS.tmp.2120D/abstract target=ref>de Leon et al. 2021</a>,4.16387300,,0.137,,,,1158,,2457219.277628,,2.7500000,5789.00,1.04,0.98,4.39,,13h36m08.52s,204.0355092,-14d00m33.31s,-14.0092516,489.3680000,13.4490000
K2-368 b,1,3,Transit,2022,<a refstr=VANDERBURG_ET_AL__2016 href=https://ui.adsabs.harvard.edu/abs/2016ApJS..222...14V/abstract target=ref>Vanderburg et al. 2016</a>,5.02583100,,0.153,,,,,,2456983.791000,0.048400,2.3000000,4679.00,0.72,,,,22h10m32.58s,332.6357627,-11d09m58.02s,-11.1661157,206.6080000,13.5810000
K2-368 b,1,3,Transit,2022,<a refstr=KRUSE_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019ApJS..244...11K/abstract target=ref>Kruse et al. 2019</a>,5.02629000,,0.118,,,,,,2456978.764600,0.048500,2.2800000,,0.58,,,,22h10m32.58s,332.6357627,-11d09m58.02s,-11.1661157,206.6080000,13.5810000
K2-368 b,1,3,Transit,2022,<a refstr=CHRISTIANSEN_ET_AL__2022 href=https://ui.adsabs.harvard.edu/abs/2022arXiv220302087C/abstract target=ref>Christiansen et al. 2022</a>,5.02559800,,0.119,,,,,,2456978.767200,,,4663.00,0.66,0.75,4.67,,22h10m32.58s,332.6357627,-11d09m58.02s,-11.1661157,206.6080000,13.5810000
K2-368 c,1,3,Transit,2022,<a refstr=KRUSE_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019ApJS..244...11K/abstract target=ref>Kruse et al. 2019</a>,9.65869000,,0.123,,,,,,2456977.875000,0.052200,2.8560000,,0.58,,,,22h10m32.58s,332.6357627,-11d09m58.02s,-11.1661157,206.6080000,13.5810000
K2-368 c,1,3,Transit,2022,<a refstr=CHRISTIANSEN_ET_AL__2022 href=https://ui.adsabs.harvard.edu/abs/2022arXiv220302087C/abstract target=ref>Christiansen et al. 2022</a>,9.66018600,,0.121,,,,,,2456977.872200,,,4663.00,0.66,0.75,4.67,,22h10m32.58s,332.6357627,-11d09m58.02s,-11.1661157,206.6080000,13.5810000
K2-372 b,1,1,Transit,2022,<a refstr=PETIGURA_ET_AL__2018 href=https://ui.adsabs.harvard.edu/abs/2018AJ....155...21P/abstract target=ref>Petigura et al. 2018</a>,9.84401700,,0.270,,,,,,2457146.329090,,3.6288000,,0.91,,,,08h43m11.73s,130.7988719,+13d00m33.92s,13.0094226,463.8800000,13.5890000
K2-372 b,1,1,Transit,2022,<a refstr=KRUSE_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019ApJS..244...11K/abstract target=ref>Kruse et al. 2019</a>,9.84413000,,0.288,,,,,,2457146.328800,0.109300,3.6960000,,0.94,,,,08h43m11.73s,130.7988719,+13d00m33.92s,13.0094226,463.8800000,13.5890000
K2-372 b,1,1,Transit,2022,<a refstr=CHRISTIANSEN_ET_AL__2022 href=https://ui.adsabs.harvard.edu/abs/2022arXiv220302087C/abstract target=ref>Christiansen et al. 2022</a>,9.84407700,,0.263,,,,,,2457146.328700,,,5479.00,0.92,0.85,4.44,,08h43m11.73s,130.7988719,+13d00m33.92s,13.0094226,463.8800000,13.5890000
K2-372 b,1,1,Transit,2022,<a refstr=POPE_ET_AL__2016 href=https://ui.adsabs.harvard.edu/abs/2016MNRAS.461.3399P/abstract target=ref>Pope et al. 2016</a>,9.84400000,,,,,,,,2457146.330000,0.080900,3.4250400,5500.23,0.96,0.96,4.46,1.5420,08h43m11.73s,130.7988719,+13d00m33.92s,13.0094226,463.8800000,13.5890000
K2-390 b,1,1,Transit,2022,<a refstr=ZINK_ET_AL__2021 href=https://ui.adsabs.harvard.edu/abs/2021AJ....162..259Z/abstract target=ref>Zink et al. 2021</a>,3.31279200,,0.416,,,,,,2457739.902902,,2.5000000,5558.00,0.97,0.79,4.37,,23h42m48.57s,355.7023860,-09d35m19.36s,-9.5887124,456.1220000,13.6110000
K2-390 b,1,1,Transit,2022,<a refstr=CHRISTIANSEN_ET_AL__2022 href=https://ui.adsabs.harvard.edu/abs/2022arXiv220302087C/abstract target=ref>Christiansen et al. 2022</a>,3.31279200,,0.416,,,,,,2457739.902900,,,5558.00,0.97,0.79,4.37,,23h42m48.57s,355.7023860,-09d35m19.36s,-9.5887124,456.1220000,13.6110000
K2-321 b,1,1,Transit,2020,<a refstr=CASTRO_GONZ_AACUTE_LEZ_ET_AL__2020 href=https://ui.adsabs.harvard.edu/abs/2020MNRAS.499.5416C/abstract target=ref>Castro Gonz&aacute;lez et al. 2020</a>,2.29800000,0.041000,0.174,,,,701,88.940,2457909.170000,0.110000,,3855.00,0.58,0.60,4.68,,10h25m37.32s,156.4054989,+02d30m49.98s,2.5138829,77.6888000,13.6770000
K2-355 b,1,1,Transit,2021,<a refstr=CASTRO_GONZ_AACUTE_LEZ_ET_AL__2022 href=https://ui.adsabs.harvard.edu/abs/2022MNRAS.509.1075C/abstract target=ref>Castro-Gonz&aacute;lez et al. 2022</a>,5.73856470,0.063200,0.201,,,,1066,,2458252.191830,,,5790.00,0.92,0.96,4.49,,08h18m34.23s,124.6426189,+13d30m10.01s,13.5027816,500.4970000,13.7070000
GJ 3473 b,2,2,Transit,2020,<a refstr=KEMMER_ET_AL__2020 href=https://ui.adsabs.harvard.edu/abs/2020A&A...642A.236K/abstract target=ref>Kemmer et al. 2020</a>,1.19800350,0.015890,0.113,0.00585,0.00585,5.03000,773,87.950,2458492.204080,,0.9500000,3347.00,0.36,0.36,4.81,10.9300,08h02m22.47s,120.5936065,+03d20m13.79s,3.3371629,27.3644000,13.7400000
HAT-P-68 b,1,1,Transit,2020,<a refstr=LINDOR_ET_AL__2021 href=https://ui.adsabs.harvard.edu/abs/2021AJ....161...64L/abstract target=ref>Lindor et al. 2021</a>,2.29840551,0.029960,1.072,0.72400,0.72400,0.72700,1028,88.730,2456614.203550,,2.0868000,4508.00,0.67,0.68,4.62,3.1650,07h53m55.96s,118.4831501,+23d56m17.59s,23.9382192,202.1520000,13.8020000
CD Cet b,1,1,Radial Velocity,2020,<a refstr=BAUER_ET_AL__2020 href=https://ui.adsabs.harvard.edu/abs/2020A&A...640A..50B/abstract target=ref>Bauer et al. 2020</a>,2.29070000,0.018500,,,0.01243,,464,87.480,,,,3130.00,0.17,0.16,4.93,,03h13m24.72s,48.3530155,+04d46m30.68s,4.7751881,8.6071500,13.9500000
K2-322 b,1,1,Transit,2020,<a refstr=CASTRO_GONZ_AACUTE_LEZ_ET_AL__2020 href=https://ui.adsabs.harvard.edu/abs/2020MNRAS.499.5416C/abstract target=ref>Castro Gonz&aacute;lez et al. 2020</a>,8.20500000,0.059400,0.171,,,,635,88.150,2457914.022000,0.071000,,4141.00,0.60,0.63,4.68,,10h26m29.45s,156.6226981,+04d45m50.47s,4.7640203,123.4150000,13.9630000
EPIC 212624936 b,1,2,Transit,2021,<a refstr=ADAMS_ET_AL__2021 href=https://ui.adsabs.harvard.edu/abs/2021PSJ.....2..152A/abstract target=ref>Adams et al. 2021</a>,0.57865700,,0.107,,,,,90.300,2457232.531080,,,5765.00,0.93,,4.40,,14h02m33.03s,210.6376171,-10d01m25.27s,-10.0236852,561.9290000,13.9760000
EPIC 220492298 b,1,1,Transit,2021,<a refstr=ADAMS_ET_AL__2021 href=https://ui.adsabs.harvard.edu/abs/2021PSJ.....2..152A/abstract target=ref>Adams et al. 2021</a>,0.76240600,,0.088,,,,,92.600,2457431.677340,,,5620.00,0.89,,4.50,,01h07m02.76s,16.7615005,+06d35m19.67s,6.5887980,624.5120000,13.9910000
